state,state_,corrupt,netgi,partycomp,legprofsq,gspwmg,gspwenv,gsppc,dgov80s,gspwmg2,gspwenv2,gspwmg2xcorrupt,gspwenv2xcorrupt,envatt,lntri88
AK,1,.58630002,8,53.459999,.31099999,.00065384613,.00034615386,44.293015,.625,.65384614,.34615386,.38335001,.20295002,2.4200001,1.3083328
AL,2,.63029999,6,27.27,.15800001,.00053777208,.000064020489,18.905834,.80000001,.53777206,.064020492,.33895773,.040352114,2.3699999,4.6977491
AR,3,.1321,5,9.2600002,.105,.00063636363,.000045454544,18.371607,.89999998,.63636363,.045454543,.084063634,.0060045454,2.4200001,3.713572
AZ,4,.31760001,13,33.900002,.25,.00078272604,.00014844805,19.322035,.30000001,.78272605,.14844805,.24859381,.047147103,2.52,4.1926804
CA,5,.49759999,34,47.290001,.625,.00025891612,.000013961163,25.490957,.60000002,.25891611,.013961163,.12883665,.0069470746,2.7,4.6940966
CO,6,.21170001,17,40.18,.30000001,.00052121212,.00024242424,23.823275,.5,.5212121,.24242423,.1103406,.051321212,2.5,2.7536607
CT,7,.21250001,29,52.810001,.233,.00058645097,.00019211325,30.161634,.89999998,.58645099,.19211325,.12462084,.040824067,2.5900002,3.6323092
DE,8,.3012,15,39.66,.192,.0010548523,.00012658228,34.347828,.30000001,1.0548522,.12658228,.31772149,.038126584,2.5999999,2.1517622
FL,9,.60409999,24,31.129999,.255,.00087490695,.00024571855,19.881569,.80000001,.87490696,.24571855,.52853125,.14843857,2.6100001,4.1190372
GA,10,.54629999,12,16.190001,.133,.00065146579,.00014332248,22.690317,1,.65146577,.14332248,.35589576,.078297071,2.49,4.4624538
HI,11,.9788,15,33.400002,.27599999,.00054216868,.0001807229,28.794449,1,.54216868,.18072289,.5306747,.17689157,2.5799999,0
IA,12,.063699998,20,48.549999,.22499999,.00062184874,.00015126051,21.189459,.40000001,.62184876,.15126051,.039611764,.0096352939,2.4400001,3.7612002
ID,13,.1331,13,35.599998,.119,.0018660288,.0013875598,19.606003,.5,1.8660288,1.3875598,.24836844,.18468422,2.3499999,1.9878744
IL,14,.22409999,12,41.610001,.30199999,.00031589673,.000040760871,25.35745,.44999999,.31589672,.040760871,.070792452,.0091345105,2.5900002,4.9023075
IN,15,.22409999,25,44.59,.139,.00056743424,.000041118423,21.514507,.1,.56743425,.041118424,.12716201,.0092146387,2.5599999,5.2181911
KS,16,.1016,15,35.810001,.152,.0010676157,.00016014234,22.319302,.32499999,1.0676157,.16014235,.10846976,.016270462,2.5,3.4111476
KY,17,.25830001,13,27.809999,.101,.00056878309,.000039682538,20.143885,1,.5687831,.039682537,.14691667,.010249999,2.3899999,4.1956973
LA,18,.48800001,18,,.185,.00074844074,.000072765069,22.513456,.85000002,.74844074,.072765067,.36523908,.035509352,2.5,5.5246558
